// Copyright (C) 2003 Rational Discovery LLC
//  This file is part of the RDKit.
//  The contents are covered by the terms of the BSD license
//  which is included in the file license.txt, found at the root
//  of the RDKit source tree.
// NOTES:
//  - larger functional groups should come before smaller ones involving
//    the same core atom
//  - the first atom in the SMARTS query is not part of the group itself
//  - it is essential that the fields in this file be separated by tabs
//    (not spaces).
//
//   Label	SMARTS	Notes
//--------------------------------------------------
//Ring

RingC(=O)O	   [*;R:1][C;R](=O)[O;R][*;R:1]	   self_lactone79
RingC(=O)N(R)	   [*;R:1][C;R](=O)[N;R;!$(N[O,F,N]);!$(N=*)][*;R:1]	   self_lactam84
AromaticRing-C(=O)	   [a;!$(c1cc1);!$(c1ccc1);!$(c1cccc1);!$(c1ccccc1);!$(c1cccccc1);!$(c1ccccccc1)]=[#8;!$(N[O,N,F])]	   self_oxohetarene106
AromaticRingWithN-C(=N)	   [a:1][N;!$(N[O,F,N])]C(=[N;!$(N[O,F,N])])[a:1]	   self_iminohetarene108

//--------------------------------------------------

-NC(=O)NN	   [N;!$(N=*);!$(N(C=O)(C=O));!$(N[O,F,N]);!a]C(=O)-[N;!$(N(C=O)(C=O));!$(N[O,F]);!$(NNN);!a][N;!$(N[O,F]);!$(NNN);!$(N=*);!a]	   self_semicarbazide138
C=NNC(=O)N	   [C;!$(*=C=NN);!$(C[O,N,F]);!a]=[N;!$(C(=O)NN)]-[N;!$(C(=O)NC=O);!$(*=NN[N,O,F]);!a]-C(=O)-[N;!!$(N(C(=O))C=O);!$(N(CNN=*)[O,F,N]);!a]	   self_semicarbazone11

NCC(=O)OH	   *-[N;H1,H2;!$(N[N,O,F]);!a]-[C;H1,H2;!a;!$(C[O,F]);!$(C(N)N)]-C(=O)[O;H1]	   self_alpha-aminoacid203
C(OH)C(=O)OH	   *-[C;!$(C[N,F]);!$(C(O)O)]([O;H1])-C(=O)[O;H1]	   self_alpha-hydroxyacid204

-C(OR)(OR)NR	   [C;!$(CC=O);!$(CF);!$(C(O)(O)(N)[O,N]);!a]([O;!a;H0;!$(O[O,N,F])])([O;!a;H0;!$(O[O,N,F])])[N;!$(N=*);!$(N[N,O,F]);!a]	   self_carboxylic acid amide acetal111
-C(OR)(OR)OR	   [C;!$(CC=O);!$(C[N,F]);!$(C(O)(O)(O)O)]([O;!a;H0;!$(O[O,N,F])])([O;!a;H0;!$(O[O,N,F])])[O;!a;H0;!$(O[O,N,F])]	   self_carboxylic acid orthoester110
-C(XR)(XR)XR	   [C;!$(CC=O);!$(C([O,N])([O,N])([O,N])[O,N]);!$(CF);!a]([#7,#8;!$(CN=*)])([#7,#8;!$(CN=*)])[#7,#8;!$(CN=*)]	   self_orthocarboxylic acid deriv109

C(=O)NRC(=O)	   [C;!$(C(=O)C(=O));!$(C(N)(=O)[N,O,F])](=O)[N;H0;!a][C;!$(C(=O)C(=O));!$(C(N)(=O)[N,O,F])](=O)	   self_carboxylic acid subst. imide115
C(=O)NHC(=O)	   [C;!$(C(=O)C(=O));!$(C(N)(=O)[N,O,F])](=O)[N;H1][C;!$(C(=O)C(=O));!$(C(N)(=O)[N,O,F])](=O)	   self_carboxylic acid unsubst. imide114
